ra,dec,mjd_u,u,g,r,i,z,objID,err_i
12.1846675656878,-0.760898305313695,52522.34967462,25.2204,24.95409,22.8384,21.46883,21.04351,1237659754449142511,0.1636399
12.1845987516392,-0.761016739330945,52552.34392614,23.50979,23.48765,22.58839,21.40445,21.07976,1237659904789578671,0.1340383
12.1845624504858,-0.761009606997268,52558.35263407,23.94099,24.53548,22.23683,21.6333,22.36824,1237660025045975717,0.1465303
12.1847350779935,-0.760992937360066,52577.2399959,23.74372,24.27771,22.34896,21.61492,21.02106,1237660222616634121,0.1626886
12.1846663633245,-0.760802743521983,52910.32509851,25.40918,23.60299,22.0867,21.5816,21.24411,1237663276322456367,0.1741557
12.1846070984848,-0.76123774095369,52935.25233815,23.79869,25.89575,23.22468,21.40767,21.91231,1237663525449892624,0.1706475
12.1846994498566,-0.761089238565045,52959.1957731901,23.06963,23.83924,22.05886,21.17725,20.42437,1237663714409055061,0.1156374
12.184695874696,-0.761032928261352,52963.1755465901,24.97148,23.74259,22.36592,21.65346,21.61478,1237663783128990605,0.1163478
12.200992762692,-0.76707959931937,51136.16731706,23.42357,22.68854,22.27892,21.19818,21.97207,1237646646197551759,0.179675
12.2010243806171,-0.76697522083873,51819.38870721,23.48035,23.05303,21.77873,21.72684,21.48516,1237653011368116769,0.1525003
12.201022954055,-0.766972105740319,52522.34967462,24.87881,22.50557,21.69432,21.79276,21.10449,1237659754449142221,0.2004914
12.2010432837461,-0.766991518857833,52577.2399959,22.43838,22.95518,21.74093,21.4561,20.83726,1237660222616633932,0.125273
12.2010136448829,-0.766937065563855,52586.24493694,24.01273,22.72743,21.93983,21.6623,22.0226,1237660355752755719,0.1538095
12.2010481155067,-0.766963209336876,52910.3255131401,22.60049,23.21206,21.94641,21.80313,21.25499,1237663276322521718,0.1361312
12.2009634806629,-0.766987091194229,52935.25233815,24.25443,22.9261,21.91463,21.87041,22.13352,1237663525449892345,0.1779892
12.2010038733844,-0.766937997109994,52959.1957731901,23.75963,22.59046,21.83301,21.91911,21.34925,1237663714409054783,0.1348827
12.2009847799911,-0.766970612161932,52963.1755465901,22.92924,22.40606,21.85448,21.79327,21.36826,1237663783128990257,0.1182462
