ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,flags
12.1935701483727,-0.770042645238032,51081.31667745,21.75927,21.19246,20.70415,19.94413,19.34305,1237646010551632134,0.06629809,2450547278080
12.1935456089464,-0.77002441070659,51136.16648779,23.6896,21.62136,20.89614,20.44773,19.48516,1237646646197551509,0.1030865,217231528776
12.193555150056,-0.770003689749075,51819.38787794,21.96305,21.55314,20.93182,20.21065,19.74897,1237653011368116438,0.0695263,68987912960
12.1935585596158,-0.769992865785299,52552.34309687,22.34264,21.71053,20.85894,20.23252,19.51501,1237659904789578364,0.06052143,68987912960
12.1935730791698,-0.769971861441486,52558.3518048,22.3145,22.24404,21.58716,20.63114,20.00735,1237660025045975426,0.06164547,35253360001040
12.193610643013,-0.769995382814116,52577.23916663,22.83411,22.0626,21.25747,20.50607,20.06974,1237660222616633915,0.06600522,35253360001296
12.1935731019665,-0.769980213592133,52586.24410767,21.72761,21.4708,20.65679,20.12405,19.42412,1237660355752755699,0.08018738,68987912960
12.1935845678398,-0.770004684471313,52931.25456227,22.46719,22.29894,21.7385,20.8508,20.43561,1237663478202040831,0.07196373,35255541039448
12.1935589039807,-0.770019697499368,52935.25150889,22.06382,21.25231,20.56947,20.17041,19.21928,1237663525449892326,0.08429165,68987912448
12.1935676673466,-0.769989795092232,52963.17471733,22.81503,22.45879,21.49525,20.71774,19.88214,1237663783128990232,0.0588513,35253360001296
12.1935750621962,-0.769990690432113,53352.1457467599,22.35293,21.87422,21.09495,20.58514,19.83834,1237667171857727978,0.07406912,68987912960
12.1935806382688,-0.76998654954112,54424.20414964,21.2756,21.66333,20.61791,20.10819,19.30777,1237676324423008619,0.1186619,68987912192
